ascl_id	credit	num_citations	bibcode
0003.001	Springel, Volker	3	2000ascl.soft03001S
0003.002	Smithsonian Astrophysical Observatory	11	2000ascl.soft03002S
0008.001	Draine, Bruce T.; Flatau, Piotr J.	1	2000ascl.soft08001D
0008.002	Hogerheijde, Michiel; van der Tak, Floris	2	2000ascl.soft08002H
0011.001	Diolaiti, Emiliano; Bendinelli, Orazio; Bonaccini, Domenico; Close, Laird M.; Currie, Doug G.; Parmeggiani, Gianluigi	3	2000ascl.soft11001D
1004.001	Simard, Luc	2	2010ascl.soft04001S
1007.001	Drake, Jeremy J.; Kashyap, Vinay L.	1	2010ascl.soft07001D
1010.001	Pence, William D.	3	2010ascl.soft10001P
1010.002	Seaman, Rob; Pence, William; White, Rick	2	2010ascl.soft10002S
1010.005	Drążkowska, Joanna; Hanasz, Michał; Kowalik, Kacper	1	2010ascl.soft10005D
1010.006	van Straten, W.; Bailes, M.	1	2010ascl.soft10006V
1010.007	Zu, Ying; Kochanek, C. S.; Peterson, Bradley. M.	1	2010ascl.soft10007Z
1010.012	Oguri, Masamune	3	2010ascl.soft10012O
1010.014	Stone, James M.; Gardiner, Thomas A.; Teuben, Peter; Hawley, John F.; Simon, Jacob B.	2	2010ascl.soft10014S
1010.015	Sutherland, Ralph S.	1	2010ascl.soft10015S
1010.017	Offringa, A. R.	4	2010ascl.soft10017O
1010.024	Zibetti, Stefano	2	2010ascl.soft10024Z
1010.027	Kessler, Richard; Bernstein, Joseph P.; Cinabro, David; Dilday, Benjamin; Frieman, Joshua A.; Jha, Saurabh; Kuhlmann, Stephen; Miknaitis, Gajus; Sako, Masao; Taylor, Matt; VanderPlas, Jake	2	2010ascl.soft10027K
1010.028	Strong, A. W.; Moskalenko, I. V.; Porter, T. A.; Jóhannesson, G.; Orlando, E.; Digel, S. W.	3	2010ascl.soft10028S
1010.029	Brewer, Brendon J.; Pártay, Livia B.; Csányi, Gábor	3	2010ascl.soft10029B
1010.030	Lawrence, Earl; Heitmann, Katrin; White, Martin; Higdon, David; Wagner, Christian; Habib, Salman; Williams, Brian	2	2010ascl.soft10030L
1010.032	Bovy, Jo; Hogg, David W.; Roweis, Sam T.	2	2010ascl.soft10032B
1010.036	Jacob, Joseph C.; Katz, Daniel S.; Berriman, G. Bruce; Good, John; Laity, Anastasia C.; Deelman, Ewa; Kesselman, Carl; Singh, Gurmeet; Su, Mei-Hui; Prince, Thomas A.; Williams, Roy	10	2010ascl.soft10036J
1010.039	Carter, Joshua A.; Winn, Joshua N.	1	2010ascl.soft10039C
