ascl_id	num_commas	num_semicolons	bibcode	type
9905.002	1	0	1996ApJ...470L..81T	described_in
9906.001	1	0	1990ApJ...364..104I	described_in
9906.001	1	0	1992ApJ...397...55F	described_in
9906.002	4	3	1997AJ....114.2043H	described_in
9909.001	2	1	1997astro.ph.12217K	described_in
9909.002	3	2	1996A&A...308..359H	described_in
9909.002	3	2	1996A&A...308..359H	citation_method
9909.004	2	1	1996ApJ...469..437S	described_in
9909.004	2	1	1998ApJ...494..491Z	described_in
9909.005	1	0	1998ApJ...504..405S	described_in
9910.001	9	8	2013RMxAA..49..137F	described_in
9910.001	9	8	2006PASP..118..920P	described_in
9910.001	9	8	2000astro.ph..1196V	described_in
9910.001	9	8	2017arXiv170510877F	citation_method
9910.004	1	0	1995astro.ph..6070B	described_in
9910.007	4	3	1999ApL&C..39..281R	described_in
9910.008	1	0	2001ApJS..133..221K	described_in
9910.009	1	0	2000ApJ...533...19B	described_in
9911.002	0	0	1986SPIE..627..733T	described_in
9911.002	0	0	1993ASPC...52..173T	described_in
9911.002	0	0	1986SPIE..627..733T	citation_method
9911.002	0	0	1993ASPC...52..173T	citation_method
9911.004	6	5	1997A&AS..125..149D	described_in
9912.001	2	1	1994ApJS...94..117O	described_in
9912.002	4	4	1995ASPC...77..367B	described_in
9912.002	4	4	1995ASPC...77..367B	citation_method
9912.003	2	1	1998PASP..110..934K	described_in
9912.003	2	1	1998PASP..110..934K	citation_method
0003.001	1	0	2005MNRAS.364.1105S	described_in
0003.001	1	0	2001NewA....6...79S	described_in
0003.001	1	0	2005MNRAS.364.1105S	citation_method
0003.001	1	0	2001NewA....6...79S	citation_method
0003.002	0	0	2003ASPC..295..489J	described_in
0008.001	2	1	2008JOSAA..25.2693D	described_in
0008.002	2	1	2000A&A...362..697H	described_in
0008.002	2	1	2007astro.ph..2385V	described_in
0008.002	2	1	2000A&A...362..697H	citation_method
0011.001	6	5	2000ASPC..216..623D	described_in
0104.001	3	2	2001MNRAS.325..845K	described_in
0104.001	3	2	2001MNRAS.325..845K	citation_method
0202.001	2	1	2001CoPhC.136..319S	described_in
1004.001	1	0	2002ApJS..142....1S	citation_method
1007.001	2	1	2000BASI...28..475K	described_in
1007.001	2	1	2000BASI...28..475K	citation_method
