ascl_id	credit	described_in	citation_method
9905.002	Tegmark, Max	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1996ApJ...470L..81T";}	
9906.001	Feigelson, Eric	a:2:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/1990ApJ...364..104I";i:1;s:54:"https://ui.adsabs.harvard.edu/#abs/1992ApJ...397...55F";}	
9906.002	Hakkila, Jon; Myers, Jeannette M.; Stidham, Brett J.; Hartmann, Dieter H.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1997AJ....114.2043H";}	
9909.001	Klypin, Anatoly; Holtzman, Jon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1997astro.ph.12217K";}	
9909.002	Helbig, Phillip; Kayser, Rainer; Schramm, Thomas	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/1996A%26A...308..359H";}	http://adsabs.harvard.edu/abs/1996A%26A...308..359H and an acknowledgement mentioning URL http://www.astro.multivax.de:8001/phillip/angsiz_prog/1_1-1/aaareadme.html
9909.004	Seljak, U.; Zaldarriaga, M.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/1996ApJ...469..437S";i:1;s:49:"http://adsabs.harvard.edu/abs/1998ApJ...494..491Z";}	
9909.005	Scargle, Jeffrey D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1998ApJ...504..405S";}	
9910.001	Ferland, Gary; van Hoof, Peter; Verner, Dima; Verner, Katya; Ferguson, Jason; Hamann, Fred; Kingdon, Jim; Korista, Kirk; Shields, Joe	a:3:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013RMxAA..49..137F";i:1;s:49:"http://adsabs.harvard.edu/abs/2006PASP..118..920P";i:2;s:49:"http://adsabs.harvard.edu/abs/2000astro.ph..1196V";}	Calculations were performed with version <i>yy.vr</i> of Cloudy, last described by Ferland et al. (2017), and a citation to http://adsabs.harvard.edu/abs/2017arXiv170510877F
9910.004	Bertschinger, Edmund	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995astro.ph..6070B";}	
9910.007	Preece, Robert D.; Briggs, Michael S.; Mallozzi, Robert S.; Brock, Martin N.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/1999ApL%26C..39..281R";}	
9910.008	Kallman, Tim	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2001ApJS..133..221K";}	
9910.009	Knox, Lloyd	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000ApJ...533...19B";}	
9911.002	National Optical Astronomy Observatories	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/1986SPIE..627..733T";i:1;s:49:"http://adsabs.harvard.edu/abs/1993ASPC...52..173T";}	http://adsabs.harvard.edu/abs/1986SPIE..627..733T http://adsabs.harvard.edu/abs/1993ASPC...52..173T
9911.004	Del-Zanna, Giulio; Young, Peter; Dere, Ken; Landini, Massimo; Landi, Enrico; Mason, Helen	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/1997A%26AS..125..149D";}	Please see citation information here: http://www.chiantidatabase.org/referencing.html
9912.001	Olson, Kevin M.; Dorband, John E.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1994ApJS...94..117O";}	
9912.002	Blackburn, J. K.; Shaw, R. A.; Payne, H. E.; Hayes, J. J. E.; HEASARC	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995ASPC...77..367B";}	Please reference http://heasarc.gsfc.nasa.gov/ftools/ and the following article: http://adsabs.harvard.edu/abs/1995ASPC...77..367B
9912.003	Kurtz, Michael J.; Mink, Jessica	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1998PASP..110..934K";}	http://adsabs.harvard.edu/abs/1998PASP..110..934K Additional information: http://tdc-www.harvard.edu/iraf/rvsao/rvsao.ref.html
0003.001	Springel, Volker	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005MNRAS.364.1105S";i:1;s:49:"http://adsabs.harvard.edu/abs/2001NewA....6...79S";}	http://adsabs.harvard.edu/abs/2005MNRAS.364.1105S and http://adsabs.harvard.edu/abs/2001NewA....6...79S
0003.002	Smithsonian Astrophysical Observatory	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2003ASPC..295..489J";}	
0008.001	Draine, Bruce T.; Flatau, Piotr J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008JOSAA..25.2693D";}	
0008.002	Hogerheijde, Michiel; van der Tak, Floris	a:2:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2000A&A...362..697H";i:1;s:54:"https://ui.adsabs.harvard.edu/#abs/2007astro.ph..2385V";}	https://ui.adsabs.harvard.edu/#abs/2000A&A...362..697H
0011.001	Diolaiti, Emiliano; Bendinelli, Orazio; Bonaccini, Domenico; Close, Laird M.; Currie, Doug G.; Parmeggiani, Gianluigi	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000ASPC..216..623D";}	
