id,ascl_id,bibcode,num_citations,credit,num_commas,num_semicolons,type
19,9911.002,1986SPIE..627..733T,695,"National Optical Astronomy Observatories",0,0,described_in
20,9911.002,1993ASPC...52..173T,817,"National Optical Astronomy Observatories",0,0,described_in
21,9911.002,1986SPIE..627..733T,695,"National Optical Astronomy Observatories",0,0,citation_method
22,9911.002,1993ASPC...52..173T,817,"National Optical Astronomy Observatories",0,0,citation_method
33,0003.002,2003ASPC..295..489J,191,"Smithsonian Astrophysical Observatory",0,0,described_in
151,1010.079,2006ITNS...53..270A,2331,"Geant4 Collaboration",0,0,described_in
187,1011.022,2011ApJS..192....9T,494,"The yt project",0,0,described_in
188,1011.022,2011ApJS..192....9T,494,"The yt project",0,0,citation_method
218,1102.013,2002gr.qc....10006V,3,"Collaborative Effort",0,0,described_in
219,1102.014,2012CQGra..29k5001L,209,"Collaborative Effort",0,0,described_in
226,1102.020,1997NewA....2...91G,82,"N-Body Shop",0,0,described_in
276,1105.005,2015ComAC...2....1M,45,"N-Body Shop",0,0,described_in
277,1105.005,2015ComAC...2....1M,45,"N-Body Shop",0,0,citation_method
329,1107.013,2007ASPC..376..127M,1138,"International Consortium Of Scientists",0,0,described_in
330,1107.013,2007ASPC..376..127M,1138,"International Consortium Of Scientists",0,0,citation_method
345,1108.012,1994PhyD...77..320G,24,"Laboratory For Computational Astrophysics",0,0,described_in
346,1108.012,2001ASPC..247..231D,6,"Laboratory For Computational Astrophysics",0,0,described_in
371,1109.016,2009PASP..121...59K,95,"Space Telescope-European Coordinating Facility (Esa)",0,0,described_in
373,1109.019,1997ASPC..125..333A,8,"ESO's Data Management; Very Large Telescope (VLT) Project Divisions; Canadian Astronomical Data Center (CADC)",0,2,described_in
389,1110.012,2014ASPC..485..391C,97,Various,0,0,citation_method
403,1111.001,2010ASPC..434..139O,614,"Herschel Science Ground Segment Consortium",0,0,described_in
409,1111.006,2005PASP..117.1113M,236,"NASA/IPAC Infrared Science Archive; JPL; Caltech; NASA",0,3,described_in
415,1111.012,2007NJPh....9..301C,127,"Computational Information Systems Laboratory At The National Center For Atmospheric Research",0,0,described_in
431,1112.019,2000A&AS..143...33B,415,"Centre de Données Astronomiques de Strasbourg (Cds)",0,0,citation_method
432,1112.019,2014ASPC..485..277B,68,"Centre de Données Astronomiques de Strasbourg (Cds)",0,0,citation_method
434,1201.006,2008ASPC..394..173W,2,"U. S. National Virtual Observatory (VAO)",0,0,described_in
500,1205.007,2012ASPC..461..893D,6,"US Virtual Astronomical Observatory",0,0,described_in
504,1205.011,2008ASPC..394..227A,2,"ESAVO Team",0,0,described_in
505,1206.003,1994ASPC...61..339B,8,"Science Software Branch of the Operations and Engineering Division at STScI",0,0,described_in
586,1210.016,2002SPIE.4847..410B,4,"Space Telescope Science Institute",0,0,described_in
589,1210.020,2007astro.ph..1297M,35,ESO,0,0,described_in
590,1210.021,2004PASP..116..975H,406,"IRS Team at Cornell University",0,0,described_in
591,1210.021,2010PASP..122..231L,89,"IRS Team at Cornell University",0,0,described_in
592,1210.021,2004PASP..116..975H,406,"IRS Team at Cornell University",0,0,citation_method
593,1210.021,2010PASP..122..231L,89,"IRS Team at Cornell University",0,0,citation_method
624,1212.011,2013ASPC..475...49H,6,"STSCI Development Team",0,0,described_in
650,1302.017,1992ASPC...25..120B,6,"European Southern Observatory",0,0,described_in
671,1303.023,2013ascl.soft03023S,26,"STScI development Team",0,0,citation_method
779,1309.008,2009ASPC..407..420D,0,"VOStat Development Group",0,0,described_in
