ascl_id	credit	num_commas	num_semicolons	num_citations
9905.002	Tegmark, Max	1	0	69
9906.001	Feigelson, Eric	1	0	890
9906.002	Hakkila, Jon; Myers, Jeannette M.; Stidham, Brett J.; Hartmann, Dieter H.	4	3	182
9909.001	Klypin, Anatoly; Holtzman, Jon	2	1	157
9909.002	Helbig, Phillip; Kayser, Rainer; Schramm, Thomas	3	2	11
9909.004	Seljak, U.; Zaldarriaga, M.	2	1	2005
9909.005	Scargle, Jeffrey D.	1	0	217
9910.001	Ferland, Gary; van Hoof, Peter; Verner, Dima; Verner, Katya; Ferguson, Jason; Hamann, Fred; Kingdon, Jim; Korista, Kirk; Shields, Joe	9	8	959
9910.004	Bertschinger, Edmund	1	0	165
9910.007	Preece, Robert D.; Briggs, Michael S.; Mallozzi, Robert S.; Brock, Martin N.	4	3	21
9910.008	Kallman, Tim	1	0	385
9910.009	Knox, Lloyd	1	0	273
9911.002	National Optical Astronomy Observatories	0	0	1516
9911.004	Del-Zanna, Giulio; Young, Peter; Dere, Ken; Landini, Massimo; Landi, Enrico; Mason, Helen	6	5	1324
9912.001	Olson, Kevin M.; Dorband, John E.	2	1	5
9912.002	Blackburn, J. K.; Shaw, R. A.; Payne, H. E.; Hayes, J. J. E.; HEASARC	4	4	174
9912.003	Kurtz, Michael J.; Mink, Jessica	2	1	380
0003.001	Springel, Volker	1	0	5042
0003.002	Smithsonian Astrophysical Observatory	0	0	202
0008.001	Draine, Bruce T.; Flatau, Piotr J.	2	1	118
0008.002	Hogerheijde, Michiel; van der Tak, Floris	2	1	336
0011.001	Diolaiti, Emiliano; Bendinelli, Orazio; Bonaccini, Domenico; Close, Laird M.; Currie, Doug G.; Parmeggiani, Gianluigi	6	5	22
0104.001	Knebe, Alexander; Green, Andrew; Binney, James	3	2	121
0202.001	Silva, A. I.; Viegas, S. M.	2	1	16
1004.001	Simard, Luc	1	0	332
1007.001	Drake, Jeremy J.; Kashyap, Vinay L.	2	1	121
1007.002	Barkana, Rennan	1	0	54
1007.003	Scannapieco, Evan; Barkana, Rennan	2	1	47
1007.004	Doran, Michael; Seljak, Uros; Zaldarriaga, Matias	3	2	201
1007.005	Landi, E.; Landini, M.	2	1	18
1007.006	Knebe, Alexander; Doumler, Timur	2	1	8
1010.001	Pence, William D.	1	0	75
1010.002	Seaman, Rob; Pence, William; White, Rick	3	2	28
1010.003	Malbet, Fabien; Duvert, Gilles; Millour, Florentin; Le Bouquin, Jean-Baptiste; Mella, Guillaume; Halipré, Luc; Chelli, Alain; Lafrasse, Sylvain; Altariba, Evelyne; Zins, Gérard	10	9	3
1010.004	Pietrobon, Davide; Balbi, Amedeo; Cabella, Paolo; Gorski, Krzysztof M.	4	3	14
1010.006	van Straten, W.; Bailes, M.	2	1	124
1010.007	Zu, Ying; Kochanek, C. S.; Peterson, Bradley. M.	3	2	316
1010.008	Kendrew, Sarah; Jolissaint, Laurent; Brandl, Bernhard; Lenzen, Rainer; Pantin, Eric; Glasse, Alistair; Blommaert, Joris; Venema, Lars; Siebenmorgen, Ralf; Molster, Frank	10	9	8
1407.002	Wilkins, T. N.; Axon, D. J.	2	1	16
1010.009	Mortonson, Michael J.; Peiris, Hiranya V.; Easther, Richard	3	2	67
1010.010	Dvorkin, Cora; Hu, Wayne	2	1	26
1010.011	Easther, Richard; Finkel, Hal; Roth, Nathaniel	3	2	38
1010.012	Oguri, Masamune	1	0	147
1010.013	Numata, Ryusuke; Howes, Gregory G.; Tatsuno, Tomoya; Barnes, Michael; Dorland, William	5	4	51
1010.014	Stone, James M.; Gardiner, Thomas A.; Teuben, Peter; Hawley, John F.; Simon, Jacob B.	5	4	490
1010.015	Sutherland, Ralph S.	1	0	20
1010.016	Ali-Haimoud, Yacine	1	0	185
1010.017	Offringa, A. R.	1	0	137
1010.018	Schneider, Michael D.; Holm, Oskar; Knox, Lloyd	3	2	11
1010.019	Capuzzo-Dolcetta, R.; Mastrobuono-Battisti, A.	2	1	21
1010.020	Reinecke, Martin	1	0	17
1010.021	Spekkens, K. J.; Sellwood, J. A.	2	1	148
1010.022	O'Connor, Evan; Ott, Christian D.	2	1	189
1010.023	Nakasone, Arturo; Prendinger, Helmut; Holland, Simon; Hut, Piet; Makino, Jun; Miura, Kenichi	6	5	0
1010.024	Zibetti, Stefano	1	0	24
1010.025	Santos, Mario; Ferramacho, Luis; Silva, Marta; Amblard, Alexandre; Cooray, Asantha	5	4	80
1010.027	Kessler, Richard; Bernstein, Joseph P.; Cinabro, David; Dilday, Benjamin; Frieman, Joshua A.; Jha, Saurabh; Kuhlmann, Stephen; Miknaitis, Gajus; Sako, Masao; Taylor, Matt; VanderPlas, Jake	11	10	129
1010.028	Strong, A. W.; Moskalenko, I. V.; Porter, T. A.; Jóhannesson, G.; Orlando, E.; Digel, S. W.	6	5	8
1010.029	Brewer, Brendon J.; Pártay, Livia B.; Csányi, Gábor	3	2	20
1010.030	Lawrence, Earl; Heitmann, Katrin; White, Martin; Higdon, David; Wagner, Christian; Habib, Salman; Williams, Brian	7	6	136
1010.031	VanderPlas, J. T.; Connolly, A. J.	2	1	32
1010.033	Kotulla, Ralf; Fritze, Uta; Weilbacher, Peter; Anders, Peter	4	3	160
1010.034	Refregier, Alexandre; Amara, Adam; Kitching, Thomas; Rassat, Anais	4	3	61
1010.035	High, F. W.; Stubbs, C. W.; Rest, A.; Stalder, B.; Challis, P.	5	4	79
1010.036	Jacob, Joseph C.; Katz, Daniel S.; Berriman, G. Bruce; Good, John; Laity, Anastasia C.; Deelman, Ewa; Kesselman, Carl; Singh, Gurmeet; Su, Mei-Hui; Prince, Thomas A.; Williams, Roy	11	10	18
1010.037	Palmer, David M.	1	0	37
1010.038	Assef, R. J.; Kochanek, C. S.; Brodwin, M.; Cool, R.; Forman, W.; Gonzalez, A. H.; Hickox, R. C.; Jones, C.; Le Floc'h, E.; Moustakas, J.; Murray, S. S.; Stern, D.	12	11	0
1010.039	Carter, Joshua A.; Winn, Joshua N.	2	1	204
1010.040	Copi, Craig J.; Vachaspati, Tanmay	2	1	12
1010.041	Pires, S.; Starck, J.-L.; Amara, A.; Teyssier, R.; Refregier, A.; Fadili, J.	6	5	38
1010.042	Lewis, Antony	1	0	50
1010.044	Nonaka, A.; Almgren, A. S.; Bell, J. B.; Lijewski, M. J.; Malone, C. M.; Zingale, M.	6	5	49
1010.045	Mignone, Andrea; Tzeferacos, P.; Zanni, C.; Tesileanu, O.; Matsakos, T.; Bodo, G.	6	5	614
1010.046	Cardiel, Nicolas	1	0	799
1010.047	Ho, Shirley; Hirata, Christopher M.; Padmanabhan, Nikhil; Seljak, Uros; Bahcall, Neta	5	4	452
1010.048	Gaburov, Evghenii; Bédorf, Jeroen; Portegies Zwart, Simon	3	2	35
1010.049	Ho, Shirley; Dedeo, Simon; Spergel, David	3	2	43
1010.050	Coe, D.; Fuselier, E.; Benitez, N.; Broadhurst, T.; Frye, B.; Ford, H.	6	5	40
